tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0102693,The Yes Man,Il portaborse,1991,93,"Comedy,Drama",nm0524516,"nm0076914,nm0664760,nm0677758,nm0750048,nm0524516",7.0,928
tt0102701,Prahaar: The Final Attack,Prahaar: The Final Attack,1991,151,"Action,Crime,Drama","nm1823221,nm0007113","nm1195250,nm0007113,nm0784044",8.0,2384
tt0102713,The Prince of Tides,The Prince of Tides,1991,132,"Drama,Romance",nm0000659,"nm0175852,nm0426539",6.8,20967
tt0102721,Proof,Proof,1991,86,"Drama,Romance",nm0602104,nm0602104,7.2,7461
tt0102722,Prospero's Books,Prospero's Books,1991,124,"Drama,Fantasy",nm0000425,"nm0000636,nm0000425",6.8,6995
tt0102768,Regarding Henry,Regarding Henry,1991,108,"Drama,Romance",nm0001566,nm0009190,6.7,35825
tt0102788,The Dumbfounded King,El rey pasmado,1991,106,"Comedy,History",nm0881919,"nm0693023,nm0868485,nm0868486",6.6,912
tt0102798,Robin Hood: Prince of Thieves,Robin Hood: Prince of Thieves,1991,143,"Action,Adventure,Drama",nm0721817,"nm0219720,nm0914709",6.9,219181
tt0102803,The Rocketeer,The Rocketeer,1991,108,"Action,Adventure,Family",nm0002653,"nm0828349,nm0082677,nm0210290,nm0213100",6.6,64940
tt0102812,Roujin Z,Rôjin Z,1991,80,"Animation,Comedy,Drama",nm0457541,nm0960028,6.8,3586
tt0102815,Controlled Conversations,Rozmowy kontrolowane,1991,93,Comedy,nm0154827,nm0878957,7.1,1735
tt0102816,Center Stage,Ruan Lingyu,1991,126,"Biography,Drama,Romance",nm0477102,"nm0156994,nm0158402",7.4,3081
tt0102817,Rubin and Ed,Rubin and Ed,1991,82,"Comedy,Drama",nm0365408,nm0365408,7.0,2136
tt0102820,Rush,Rush,1991,120,"Action,Crime,Drama",nm0005572,"nm0941948,nm0223320",6.7,10842
tt0102825,Saajan,Saajan,1991,193,"Drama,Musical,Romance",nm0195934,nm0707534,7.2,8018
tt0102844,Saudagar,Saudagar,1991,213,"Action,Drama,Romance",nm0007131,"nm0080432,nm0007131,nm0659238",6.7,1735
tt0102851,Happy Days,Schastlivye dni,1991,86,Drama,nm0049326,"nm0049326,nm0065716",6.8,844
tt0102917,The Swordsman in Double Flag Town,Shuang Qi Zhen dao ke,1991,91,"Action,Adventure,Drama",nm0372092,"nm0372092,nm0946100",7.0,666
tt0102926,The Silence of the Lambs,The Silence of the Lambs,1991,118,"Crime,Drama,Horror",nm0001129,"nm0365383,nm0848217",8.6,1684147
tt0102932,A Chinese Ghost Story III,Sien lui yau wan III: Dou dou dou,1991,104,"Action,Comedy,Fantasy","nm0155642,nm0007139","nm0007139,nm0844036",6.6,3242
tt0102951,Soapdish,Soapdish,1991,97,"Comedy,Romance",nm0001355,"nm0363326,nm0000921",6.6,18625
tt0102958,Love in the Time of Hysteria,Sólo con tu pareja,1991,94,"Comedy,Romance",nm0190859,"nm0190859,nm0190860",6.8,4442
tt0102975,Star Trek VI: The Undiscovered Country,Star Trek VI: The Undiscovered Country,1991,110,"Action,Adventure,Sci-Fi",nm0583292,"nm0734472,nm0000559,nm0465199,nm0742797,nm0583292,nm0282364",7.2,84243
tt0102982,Stinsen brinner ...filmen alltså,Stinsen brinner ...filmen alltså,1991,104,"Comedy,Musical","nm0259301,nm0259326","nm0259326,nm0259301",6.7,754
tt0102986,The Great Day on the Beach,Den store badedag,1991,100,"Comedy,Drama",nm0648138,"nm0279077,nm0648138,nm0804414",6.7,762
tt0103030,High Heels,Tacones lejanos,1991,112,"Comedy,Drama,Romance",nm0000264,nm0000264,7.0,18489
tt0103042,The Tank Battalion,Tankový prapor,1991,83,Comedy,nm0647429,"nm0424220,nm0647429,nm0804992",6.6,561
tt0103044,Prison on Fire II,Gam yuk fung wan II: To fan,1991,109,"Crime,Drama,Thriller",nm0482681,nm0620609,6.7,1563
tt0103045,Fight Back to School,To hok wai lung,1991,100,"Action,Comedy,Crime",nm0150906,"nm0150906,nm0938944",7.0,5251
tt0103064,Terminator 2: Judgment Day,Terminator 2: Judgment Day,1991,137,"Action,Adventure,Sci-Fi",nm0000116,"nm0000116,nm0936537",8.6,1263558
tt0103074,Thelma & Louise,Thelma & Louise,1991,130,"Adventure,Crime,Drama",nm0000631,nm0451884,7.6,188978
tt0103105,Toto the Hero,Toto le héros,1991,91,"Comedy,Drama,Fantasy",nm0233757,"nm0210533,nm0519533,nm0233757,nm0889158",7.4,6643
tt0103110,Tous les matins du monde,Tous les matins du monde,1991,115,"Biography,Drama,History",nm0006734,"nm0703538,nm0006734",7.5,8339
tt0103112,Toy Soldiers,Toy Soldiers,1991,111,"Action,Drama,Thriller",nm0677943,"nm0448388,nm0677943,nm0462895",6.6,27043
tt0103135,Assassin of the Tsar,Tsareubiytsa,1991,104,"Drama,History",nm0787668,"nm0097180,nm0787668",6.8,1070
tt0103168,Une époque formidable...,Une époque formidable...,1991,96,"Comedy,Drama",nm0432040,"nm0432040,nm0519969",6.7,1481
tt0103176,Close to Eden,Urga,1991,119,"Adventure,Drama,Romance",nm0586482,"nm0406534,nm0586482",7.5,4036
tt0103186,Cows,Vacas,1992,96,"Drama,Mystery,Romance",nm0575523,"nm0311132,nm0575523",7.1,4059
tt0103190,Van Gogh,Van Gogh,1991,158,"Biography,Drama,Romance",nm0681207,nm0681207,7.1,3517
